"","trt_mo","body_mm_est","body_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","month","mo_jit","spp"
"141","untrtpd 8",7.69717929180858,0.126726654173525,7.51323213748532,7.90646416017333,7.55791118088904,7.84217785315943,7.60843030074149,7.77662492193705,"untrtpd",8,8.1,"ONf"
"17","bison 6",8.03826792340937,0.0923980421718202,7.88711401817145,8.18906326536563,7.92082388426926,8.15369275967416,7.96239203758828,8.11360482823059,"bison",6,5.9,"ONm"
"22","cattle 6",8.08070718612661,0.118473236979666,7.90463828389159,8.28031789887476,7.94178911126352,8.22288537094181,7.98938228113748,8.16349338201422,"cattle",6,5.8,"ONm"
"102","trtpd 6",8.07364911458356,0.145571014392514,7.84222173685504,8.3159929673181,7.89712683656826,8.25145739130286,7.95862363571004,8.18705702650558,"trtpd",6,6,"ONm"
"32","ungrazed 6",8.14267450616176,0.0703106049408888,8.02948156097974,8.2607774871402,8.05166526511929,8.23020945799844,8.08434786785995,8.20076481642718,"ungrazed",6,6.2,"ONm"
"112","untrtpd 6",8.12043887474682,0.167858572928707,7.85192113244139,8.39610270038372,7.91496779739169,8.31918665430786,7.99405916009394,8.24111411442488,"untrtpd",6,6.1,"ONm"
"42","bison 7",7.93328426546045,0.146609447464214,7.68982124647843,8.16499013422278,7.74752328019961,8.11143528686145,7.81583792931525,8.0494983354541,"bison",7,6.9,"ONm"
"52","cattle 7",8.03038645002454,0.0770111532066152,7.90579785275187,8.15313775090442,7.93257328577383,8.12611169938255,7.96795587971512,8.0933421720531,"cattle",7,6.8,"ONm"
"122","trtpd 7",8.02035981880553,0.169298475333497,7.73908479791736,8.28502157403239,7.81590020262117,8.22183206175898,7.89098672539168,8.15521074919503,"trtpd",7,7,"ONm"
"62","ungrazed 7",7.92802222342855,0.285310251891698,7.47185461373799,8.41002371623763,7.58843308973991,8.27997802742476,7.70472204570475,8.1413791727208,"ungrazed",7,7.2,"ONm"
"132","untrtpd 7",7.87295975257726,0.110427674729579,7.69264095419565,8.051278897038,7.740086671095,8.01007563282304,7.78617631381084,7.96081178159813,"untrtpd",7,7.1,"ONm"
"72","bison 8",7.80315432854247,0.0952086753523556,7.64607323607185,7.95871602025644,7.68553006633315,7.92250797885679,7.72931200196053,7.87871444313908,"bison",8,7.9,"ONm"
"82","cattle 8",8.00341952762643,0.10852945668222,7.83236443216227,8.18305979341073,7.86751873176028,8.13936170232547,7.91543909254712,8.08980545374932,"cattle",8,7.8,"ONm"
"142","trtpd 8",8.38139160778022,0.390760441237605,7.84009089498213,9.20362388217918,7.96749814922276,8.81863220753007,8.10080349383448,8.60896836959368,"trtpd",8,8,"ONm"
"92","ungrazed 8",8.54454094678909,0.312003357936277,8.06211657249552,9.00714193169762,8.18928397173576,8.90612157364081,8.3354331477957,8.77189095059291,"ungrazed",8,8.2,"ONm"
"152","untrtpd 8",7.91837523872158,0.162487961351046,7.66203632058922,8.18643457578636,7.71812718591825,8.12271214100449,7.78768989020491,8.04614193660004,"untrtpd",8,8.1,"ONm"
