"","site","month","grass_PC1","grass_PC_tm1","browser_100m2","patty_100m2","PD_1m2","browser_minusLastMo","patty_minusLastMo","PD_minusLastMo","browser_lastMo","patty_lastMo","PD_lastMo","wing.mean","wing.se","thorax.mean","thorax.se","head.mean","head.se","forearm.mean","forearm.se","body.mean","body.se","trt","spp","trtbison","trtcattle","trttrtpd","trtungrazed","trtuntrtpd","Temp48hr","Temp20day","Temp60day"
"37","cattle_2",7,-0.38498301, 0.46624760,0.375,11.625,NA,-0.500,-0.750,NA,0.875,12.375,NA,7.21750000,0.08584702,5.06550000,0.07505208,3.81650000,0.05470966,3.78075000,0.06687089,16.09950000, 0.20971071,"cattle","Canthon_pilularius",0,1,0,0,0,22.35550,23.74099,NA
"38","cattle_2",7,-0.38498301, 0.46624760,0.375,11.625,NA,-0.500,-0.750,NA,0.875,12.375,NA,3.22650000,0.03848834,3.04450000,0.03431369,2.01975000,0.03118080,2.00400000,0.02260247, 8.29075000, 0.08266893,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,22.35550,23.74099,NA
"39","cattle_2",7,-0.38498301, 0.46624760,0.375,11.625,NA,-0.500,-0.750,NA,0.875,12.375,NA,3.15350000,0.03514539,3.07075000,0.04085840,1.76800000,0.02105000,1.90025000,0.03173910, 7.99225000, 0.08307356,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,22.35550,23.74099,NA
"40","cattle_2",8,-0.85206190,-0.38498301,0.000,10.500,NA,-0.375,-1.125,NA,0.375,11.625,NA,3.02086957,0.05645283,2.79913043,0.07181694,1.67608696,0.03667903,1.70608696,0.04713423, 7.49608696, 0.14655428,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,29.13383,25.94176,23.37917
"41","cattle_2",8,-0.85206190,-0.38498301,0.000,10.500,NA,-0.375,-1.125,NA,0.375,11.625,NA,3.07413793,0.04303314,2.76551724,0.04106521,1.91379310,0.04325550,1.85206897,0.04450710, 7.75344828, 0.11192370,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,29.13383,25.94176,23.37917
"42","cattle_2",8,-0.85206190,-0.38498301,0.000,10.500,NA,-0.375,-1.125,NA,0.375,11.625,NA,7.14275000,0.07169915,5.05850000,0.06241461,3.78825000,0.04476418,3.83350000,0.06720572,15.98950000, 0.16975131,"cattle","Canthon_pilularius",0,1,0,0,0,29.13383,25.94176,23.37917
"43","cattle_3",6, 1.08147965,NA,0.000, 1.125,NA,NA,NA,NA,NA,NA,NA,7.42825000,0.07321542,5.24350000,0.05790526,3.93825000,0.04426448,3.98300000,0.06226206,16.61000000, 0.17122897,"cattle","Canthon_pilularius",0,1,0,0,0,18.32642,NA,NA
"44","cattle_3",6, 1.08147965,NA,0.000, 1.125,NA,NA,NA,NA,NA,NA,NA,3.10838710,0.03667086,3.05064516,0.03985170,1.87612903,0.03731204,1.86419355,0.04314959, 8.03516129, 0.10162325,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,18.32642,NA,NA
"45","cattle_3",6, 1.08147965,NA,0.000, 1.125,NA,NA,NA,NA,NA,NA,NA,3.06000000,0.04542591,2.98594595,0.05011317,1.69702703,0.02915441,1.79297297,0.03470135, 7.74297297, 0.11525195,"cattle","Onthophagus_nuchicornis_female",0,1,0,0,0,18.32642,NA,NA
"46","cattle_3",7,-0.08125239, 1.08147965,0.000, 1.250,NA, 0.000, 0.125,NA,0.000, 1.125,NA,3.04428571,0.04366851,2.82857143,0.03954073,1.87285714,0.04890780,1.90047619,0.03135417, 7.74571429, 0.11628694,"cattle","Onthophagus_nuchicornis_male",0,1,0,0,0,26.30592,24.69071,NA
