"","code_spp","CanPil_ActDens_est","CanPil_ActDens_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month"
"37","trtpd trtpd1 6",0.521843096315847,0.639721626528851,-0.498672624494977,1.53596368899133,-0.19356003277835,1.23896949566132,0.107071429019821,0.932583228190108,"trtpd","trtpd1",6
"38","trtpd trtpd1 7",0.457871149474748,0.902341917845596,-0.988558001461227,1.92794693292619,-0.562182920248612,1.49488705017087,-0.146577635833644,1.06129463989147,"trtpd","trtpd1",7
"39","trtpd trtpd1 8",8.26654889024059,1.30656787291731,6.18939659134781,10.1873479839275,6.75119602943766,9.72626280733667,7.31129569310356,9.19927351660995,"trtpd","trtpd1",8
"40","trtpd trtpd2 6",1.0248860936595,0.803870519852594,-0.233023992245602,2.29531442502381,0.113503669261779,1.90518386380662,0.48668231579756,1.5595363750548,"trtpd","trtpd2",6
"41","trtpd trtpd2 7",17.1983154779377,6.53896691798311,7.50364994915028,27.5159948398921,9.31975912701984,25.0816485728536,11.1425827901171,22.4597853227423,"trtpd","trtpd2",7
"42","trtpd trtpd2 8",59.4161743838668,6.74146112532282,48.5635155809308,69.3197986673437,51.4638987214146,66.7133397655534,54.613680231904,63.5968438807267,"trtpd","trtpd2",8
"43","trtpd trtpd3 6",2.69457050122654,0.833191811320168,1.3443638654371,4.02746631554757,1.74713454462059,3.68617544233792,2.12494105053502,3.28358403801642,"trtpd","trtpd3",6
"44","trtpd trtpd3 7",4.61864272882409,1.10704658353758,2.82304469850201,6.4567529683296,3.29424555417453,5.94431406910217,3.83243860223717,5.41150837322956,"trtpd","trtpd3",7
"45","trtpd trtpd3 8",15.136833829782,3.33111286052875,9.2729631901032,20.4876683098813,10.9490421866884,19.1805333033986,12.6831187855171,17.7154411016076,"trtpd","trtpd3",8
"46","ungrazed ungrazed1_1 6",75.2876034671918,7.4488905122,63.2387006860127,86.7790302403021,66.5307535008908,84.4109761278297,69.8822484831697,81.2304661402104,"ungrazed","ungrazed1_1",6
"47","ungrazed ungrazed1_1 7",90.7787929358141,9.97470830438403,73.9854180234538,105.901078576015,79.3702100612303,102.632285036627,84.0575881751686,98.1224082587127,"ungrazed","ungrazed1_1",7
"48","ungrazed ungrazed1_1 8",27.7671907431904,4.82704315964758,20.2451136410848,35.7426840892325,22.1569214108839,33.5734092241275,24.1665843301598,31.2714090719983,"ungrazed","ungrazed1_1",8
"49","ungrazed ungrazed1_2 6",23.0801163267973,3.56117094125606,17.249714085971,29.0805770328824,18.5850180346663,27.7173039953962,20.2200528526553,25.9105114754626,"ungrazed","ungrazed1_2",6
"50","ungrazed ungrazed1_2 7",55.7597960959083,4.85746294591817,47.836066734138,63.5383684440292,49.9581128684049,61.6601989401561,52.2106749840809,59.331964267927,"ungrazed","ungrazed1_2",7
"51","ungrazed ungrazed1_2 8",31.5158478490355,8.28485976671725,18.0944217545337,44.4161737637997,21.6241744785857,41.8888876878787,25.1205523588743,38.4372703409557,"ungrazed","ungrazed1_2",8
"52","ungrazed ungrazed2_1 6",1.78307007908113,1.01053962565196,0.236207593934139,3.34036441548004,0.553923681347068,2.9524020284256,0.989013167174892,2.52785012875457,"ungrazed","ungrazed2_1",6
"53","ungrazed ungrazed2_1 7",6.08071912444875,2.56933582642946,1.91881300325434,10.2941481940722,3.01537883676371,9.20117599164308,3.99697181016408,8.06686127374652,"ungrazed","ungrazed2_1",7
"54","ungrazed ungrazed2_1 8",26.1730662714133,6.56224152877562,15.6522686103471,36.6223600089367,18.4648034696202,34.004908164368,21.6076703634458,30.8538980152332,"ungrazed","ungrazed2_1",8
"55","ungrazed ungrazed2_2 6",32.1076312162652,4.0416886761695,25.8145671999625,38.7311381175701,27.2252916566561,37.0304115073418,28.9895738967672,35.2159663826912,"ungrazed","ungrazed2_2",6
"56","ungrazed ungrazed2_2 7",49.5766472182163,8.8689889165994,35.6474079389483,63.6097685388327,39.1887081659542,60.5995069337985,42.6909499651593,56.6408394752266,"ungrazed","ungrazed2_2",7
"57","ungrazed ungrazed2_2 8",20.8097787261155,4.29505217237687,13.7740640645685,27.5684666529862,15.4363972087502,26.1027357741862,17.4002871932073,24.1510810983342,"ungrazed","ungrazed2_2",8
"58","ungrazed ungrazed3_1 6",1.954245639403,0.791620465642308,0.67867920254601,3.20975331259692,1.13174201378288,2.83048007012337,1.45314549892545,2.46325749140027,"ungrazed","ungrazed3_1",6
"59","ungrazed ungrazed3_1 7",1.51008628272107,0.957485176030991,0.00542292088914816,3.08381088887799,0.379043079880267,2.67344222933834,0.764943612059693,2.22339132028826,"ungrazed","ungrazed3_1",7
"60","ungrazed ungrazed3_1 8",2.05463330329402,1.1865250334959,0.0514163942009228,3.88020203480626,0.622524042406662,3.42880079492616,1.21190681091001,2.9679996243334,"ungrazed","ungrazed3_1",8
"61","ungrazed ungrazed3_2 6",1.2233163639535,1.06183086516621,-0.583687645982755,2.90352609590196,-0.0573621197018054,2.47372753465133,0.452951259480777,1.99483043759955,"ungrazed","ungrazed3_2",6
