code,trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,browser_lastMo,patty_lastMo,PD_lastMo,browser_2MoPrior,patty_2MoPrior,PD_2MoPrior
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,4,0,23,356,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,5,1,9,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,6,1,21,231,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,7,0,10,222,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_1-6,untrtpd,untrtpd_1,2022,6,10,8,2,6,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,3,0,7,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,4,0,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,5,0,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,6,0,18,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,7,0,7,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_2-6,untrtpd,untrtpd_2,2022,6,14,8,1,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,1,0,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,2,0,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,3,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,4,0,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,5,0,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,6,0,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,7,0,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
untrtpd_3-6,untrtpd,untrtpd_3,2022,6,14,8,0,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,1,0,4,0,0,1,NA,0,3,0,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,2,0,4,0,0,-2,NA,0,6,0,NA,NA,NA
bison_1-7,bison,bison_1,2022,7,4,3,0,6,0,0,1,NA,0,5,0,NA,NA,NA
